Nome da Notícia,Link da Matéria
"Páscoa: onde comprar ovos de chocolate sem glúten, lactose e açúcar refinado",https://www.cnnbrasil.com.br/viagemegastronomia/gastronomia/listas/pascoa-onde-comprar-ovos-de-chocolate-sem-gluten-lactose-e-acucar-refinado/
Menin Wine Company é eleita Produtora do Ano em tradicional prêmio português,https://www.cnnbrasil.com.br/viagemegastronomia/gastronomia/menin-wine-company-e-eleita-produtora-do-ano-em-tradicional-premio-portugues/
Da Itália à Turquia: 7 resorts luxuosos para férias com crianças na Europa,https://www.cnnbrasil.com.br/viagemegastronomia/criancas/da-italia-a-turquia-7-resorts-luxuosos-para-ferias-com-criancas-na-europa/
Veja mais em Viagem & Gastronomia,https://www.cnnbrasil.com.br/viagemegastronomia/
Ver mais destaques,https://www.cnnbrasil.com.br/ultimas-noticias/
Brasil atropela México e está na final da Copa Ouro Feminina,https://www.cnnbrasil.com.br/esportes/brasil-atropela-mexico-e-esta-na-final-da-copa-ouro-feminina/ 
Entenda como a Receita Federal sabe quando alguém sonega o IR,https://www.cnnbrasil.com.br/economia/financas/entenda-como-a-receita-federal-sabe-quando-alguem-sonega-o-ir/ 
"Após pedido de vista do STF, Senado quer aprovar PEC da criminalização da maconha na CCJ quarta que vem",https://www.cnnbrasil.com.br/politica/apos-pedido-de-vista-do-stf-senado-quer-aprovar-pec-da-criminalizacao-da-maconha-na-ccj-quarta-que-vem/ 
Jornal coloca ídolo do São Paulo entre piores contratações do PSG,https://www.cnnbrasil.com.br/esportes/jornal-coloca-idolo-do-sao-paulo-entre-piores-contratacoes-do-psg/ 
"Dakota Johnson fala sobre fracasso de ""Madame Teia"": ""Nunca mais""",https://www.cnnbrasil.com.br/entretenimento/dakota-johnson-fala-sobre-fracasso-de-madame-teia-nunca-mais/ 
Waack: Lula ajuda Maduro a vestir uma fantasia,https://www.cnnbrasil.com.br/internacional/waack-lula-ajuda-maduro-a-vestir-uma-fantasia/ 
Entenda como está o julgamento sobre descriminalização da maconha para consumo próprio,https://www.cnnbrasil.com.br/politica/entenda-como-esta-o-julgamento-sobre-descriminalizacao-da-maconha-para-consumo-proprio/ 
Polícia Civil descobre fábrica de perfumes falsificados em SP,https://www.cnnbrasil.com.br/nacional/policia-civil-descobre-fabrica-de-perfumes-falsificados-em-sp/ 
"Nove milicianos ligados a Zinho são presos em troca tiros com PRF, no Rio",https://www.cnnbrasil.com.br/nacional/prf-troca-tiros-com-milicianos-em-rodovia-do-rio-de-janeiro/ 
Estudo revela quantidade diária de passos que beneficia saúde do coração,https://www.cnnbrasil.com.br/saude/estudo-revela-quantidade-diaria-de-passos-que-beneficia-saude-do-coracao/ 
B3,https://www.cnnbrasil.com.br
Ir para CNN Economia,https://www.cnnbrasil.com.br/economia
Ver a Agenda completa,https://www.cnnbrasil.com.br/esportes/agenda/
termos e condições,https://conteudos.cnnbrasil.com.br/termos-de-uso-da-cnn-brasil/
Ver mais vídeos,https://www.youtube.com/@CNNbrasil
Ver mais Webstories,https://stories.cnnbrasil.com.br/
Quantas vezes um prefeito pode se reeleger? E um vereador?,https://stories.cnnbrasil.com.br/?p=273238
Arsenal tem mais gols em 2024 do que três times em toda a Premier League,https://stories.cnnbrasil.com.br/?p=277936
Wagner Moura participará de painel no festival SXSW; saiba mais,https://stories.cnnbrasil.com.br/?p=277838
Eleições municipais podem ter segundo turno em 100 cidades,https://stories.cnnbrasil.com.br/?p=271437
